title,text,subject,date
 Trump Supporters Object To Prince Harry’s Recent Engagement For Terrible Reasons (TWEETS),"Great Britain s Buckingham Palace announced yesterday that Prince Harry, the youngest son of Diana, Princess of Wales, had gotten engaged. A royal engagement is always big news in the United Kingdom, but this one also hit home in the United States too, because Harry s now-fiance is American actress Meghan Markle, best known for her roles as Rachel Zane in the legal drama series Suits, as well as special agent Amy Jessup in the sci-fi thriller Fringe.The British royal family no longer holds anywhere near as much clout as it once did, now essentially relegated to mere tabloid fodder, but while many were expressing their happiness online for one of the Windsor s most beloved members, quite a few Trump supporters expressed their dissatisfaction at the prince s choice. You see, Markle is biracial, her father being Caucasian and her mother African-American, and in the minds of many deplorables, this is a bad thing.It s completely irrelevant that Prince Philip, the Duke of Edinburgh and husband of the reigning Queen Elizabeth II, is half-Greek, because that is pretty much white. However, when news broke of Prince Harry s engagement to Markle, white supremacists from across the United States and around the globe took to Twitter, because in their twisted minds, disturbing the racial purity of the British royal family is not a good thing, despite the fact the fact it has been going on for centuries. Here is but a mere sample:It's all smiles on TV but in private the #QUEEN is figuring out how to stop #PrinceHarry from destroying the #royalbloodline with mixed race #royalwedding #godsavethequeen $fb $twtr $goog #MAGA  $PENNY KING (@groman100) November 27, 2017Totally unsuitable as a Royal bride. Prince Harry is marrying a left wing dindu. By Royal Princess standards she s practically a prostitute. https://t.co/uKRkemAVnO  Romper Stomper (@Votadini1) November 27, 2017#PrinceHarry is the biggest CUCK in britain he is gonna marry an avarage-looking chick that rode the kok-carousel throughout her 20s WHAT A LOSER Prince Harry Royal Wedding Royal Family Kensington Palace  Western Highlander (@TheGreatWork3) November 27, 2017PRINCE HARRY IS MARRYING A HALF BREED, DOWN WITH THE CROWN.  troy williams (@troywilliams67) November 27, 2017The bastard cuck is marrying an older half African woman #MeganMarkle #PrinceHarry #14Words We must secure https://t.co/nziXAm0SgC pic.twitter.com/pPIRhaiGw8  Doema Fadir (@Doemafadir) November 27, 2017Prince Harry to marry this average ass chick. Man   they're lucky I'm not the prince I'd have 500 concubines from all over the world. I'd bring back the British empire with this big D. From South Africa to the USA baby England owns this shit. Harry is a cuck.  Andrew Tate (@kingcobratate) November 27, 2017Prince Harry the race traitor loves the dindus https://t.co/9rFpCySq93    N E W G U A R D   (@whowantstobeano) November 22, 2016But when it comes to the American racists letting their opinions be known, is it the princess-to-be s color that is the issue, or is it the fact that their idol has been snubbed from any Royal celebration that is causing the real pain? That s right, Prince Harry has made it quite clear that President Donald Trump is not welcome at his wedding, despite the bride being a United States citizen. Barack and Michelle Obama, on the other hand, will more than likely be welcomed with open arms.Both Harry and especially his mother, Princess Diana, are well-known for their humanitarian work and according to a close source, the prince is  not a fan  of Trump.  Harry thinks the president is a serious threat to human rights,  the source continued, but there might be a lot more to it than just that.When Princess Diana split from her husband, Prince Charles, in 1992, a palace aide claims that Trump was  relentless  in his pursuit of Diana, a claim backed up by British TV journalist and friend of the princess, Selina Scott. Scott said that Trump bombarded Diana at Kensington Palace with massive bouquets of flowers,  adding that he gave Diana  the creeps,  a fact Trump representatives obviously deny. Then there were these tweets from Donald Trump when Princess Kate Middleton, wife of Harry s brother, Prince William, was illegally photographed by paparazzi sunbathing topless in her backyard in 2012:Kate Middleton is great but she shouldn't be sunbathing in the nude only herself to blame.  Donald J. Trump (@realDonaldTrump) September 17, 2012Who wouldn't take Kate's picture and make lots of money if she does the nude sunbathing thing. Come on Kate!  Donald J. Trump (@realDonaldTrump) September 17, 2012Meghan Markle has also been a critic of the President, calling him misogynistic  and once even threatened to leave the US if he became president, so she would most likely be fine with Trump s non-attendance at her wedding, but his supporters won t take too kindly to him being shunned.Featured image via Chris Jackson/Getty Images for the Invictus Games Foundation",News,"November 28, 2017"
" While Honoring Native American Code Talkers, Trump Called Elizabeth Warren ‘Pocahontas’ (VIDEO)","Former reality show star Donald Trump just can t stop using a slur to describe Sen. Elizabeth Warren (D-Mass.) but this time he took things to the edge then crossed the line. On Monday, Trump referred to Warren as  Pocahontas  at an event honoring Native American  code talkers  who fought in World War II. Trump was literally surrounded by Native Americans when he hurled the slur. The chief. He s the general and the chief,  Trump said during the White House event, in reference to White House chief of staff John Kelly.  I said, how good were these code talkers? He said, sir, you have no idea. You have no idea how great they were, what they have done for this country and the strength and the bravery and the love for the country. So that was the ultimate statement from General Kelly, the importance,  Trump continued.  And I just want to thank you because you re very, very special people. You were here long before any of us were here, although we have a representative in Congress who they say was here a long time ago, they call her Pocahontas. But you know what I like you because you are special. Watch:MOMENTS AGO: Pres. Trump at White House event honoring Navajo code talkers, makes joke about ""Pocahontas"" Sen. Elizabeth Warren. pic.twitter.com/PgdhbxBrfT  World News Tonight (@ABCWorldNews) November 27, 2017We re not sure how he worked Sen. Warren s name into the conversation but he did. We re also not sure why he threw in the  Pocahontas  slur, but the did that, too. Trump wasn t talking to his supporters at one of his rallies where he can get away with that sh-t. He said it to Native Americans while embarrassing our country again. When Trump said  they  call Sen. Warren Pocahontas, he means he calls her Pocahontas.Trump picked up this attack on Warren from an earlier one after she claimed that, according to  family stories,  she had Native American heritage. He started using that slur when Warren campaigned for Hillary Clinton and he hasn t stopped since.Image via screen capture. ",News,"November 27, 2017"
 Pro-Trump Group Is Now Using Pictures Of An Obama Rally To Make Trump Look Popular,"In their pathetic attempt to pass the deeply unpopular and unfair tax bill that Republicans in Congress have been working on, the GOP has pulled out all the stops   and so have outside spending groups.Every campaign season, America is inundated with ad after ad claiming that one candidate or the other will be either the nation s savior or its downfall. But when ads start popping up for legislation, you know the party that s pushing it is desperate for support.America First Policies, a pro-Trump organization that calls itself a non-profit just because they legally can, has come up with a new ad intended to convince Americans to call their members of Congress and demand that they vote yes on the upcoming tax nightmare. We know it s a nightmare because the non-partisan Congressional Budget Office just scored the bill on Sunday night, and said that the legislation, which has had ZERO hearings, raises taxes on the poor, cuts taxes on the rich, and cripples Obamacare by repealing the individual mandate that makes the system function.The ad is a clever bit of doublespeak itself, as is everything that Republicans say when it comes to taxes. They have promoted the utterly debunked theory of  trickle-down  economics for more than three decades, and for all of their posturing, not a single dime of tax cuts for corporations and the super-wealthy has ever  trickled down  in the form of economic stimulus or higher pay for workers   as they perennially promise that it will.But it s an image that AFP uses in the ad that s catching people s attention.Watch the ad and see if you catch something that looks familiar:Check out our NEW TV ADThis is our once in a generation opportunity to CUT TAXES for the Middle Class. DEMAND IT   let the politicians know you re watching https://t.co/ifVCJLvo5Y pic.twitter.com/cQ95bsWYxv  AmericaFirstPolicies (@AmericaFirstPol) November 27, 2017That scene in front of the Capitol? You know, where the ad tries to make it seem like Americans are turning out in droves to demand this action?It s from Barack Obama s inauguration.That s right   it s January all over again.Inauguration crowds redux: Stock image in this pro-Trump group's ad appear to be from Obama's inauguration. https://t.co/116VHXGgHO https://t.co/HL6DKxxfqN pic.twitter.com/0zPk3AmfxA  Alex Seitz-Wald (@aseitzwald) November 27, 2017These guys couldn t be more pathetic.Featured image via Joe Raedle/Getty Images",News,"November 27, 2017"
 Breitbart Editor To CNN Host: A Song By Ringo Starr Proves Roy Moore Isn’t A Pedo (VIDEO),"A Breitbart News editor tried to use a song Ringo Starr covered in order to make claims appear to be false that controversial Alabama GOP Senate candidate Roy Moore engaged in sexual misconduct with teenage girls when he was in his thirties. On Monday, Breitbart editor Joel Pollak told host Chris Cuomo on CNN s  New Day  that Starr released  You re Sixteen (You re Beautiful, You re Mine),  a cover of a song that was actually written by Robert B. Sherman and Richard M. Sherman and performed by Johnny Burnette. The song was also featured in  American Graffiti. He was 30-something at the time singing about a 16-year-old,  Pollak said.  You want to take away Ringo Starr s achievement? You can t be serious,  Cuomo shot back.  I m dead serious. You think that Ringo Starr s song is supposed to be a nod toward allowing 30-year-olds to prey on teenagers? You don t believe that, Joel. You re a parent. You don t believe that. Watch:Breitbart senior editor defends Judge Roy Moore citing Ringo Starr's hit cover of the song ""You're Sixteen You're Beautiful (And You're Mine)"" https://t.co/tmwxLROJCk  New Day (@NewDay) November 27, 2017Pollack previously claimed that Moore creeping up on high school girls was  perfectly legitimate  because the age of consent is 16-years-old in Alabama. He said it wasn t  accurate  to claim that the teenage girls were teenagers because one of them was 16 and the other was 18, both of which would be considered   wait for it   teenage years.Moore, by the way, has been accused of pursuing relationships with girls as young as 14-years-old when he was in his 30s. Moore was also banned from the Gadsden Mall and the YMCA for perving on teenage girls. A police officer was assigned to the job of making sure Moore stayed away from high school ballgames to be sure he didn t bother the cheerleaders.Someone should check Pollak s browsing history. Just a thought. In fact, check Donald Trump s, too, since he s come out strong in support of Roy Moore.Image via screen capture. ",News,"November 27, 2017"
 Former Obama Photographer Takes Trolling Trump To A Whole New Level (TWEETS),"By now you would most likely be familiar with the story of President Trump taking a pass at being named Time Magazine s Person of the Year, a rather prestigious honor that Trump has a bizarre fixation with and one that is highly unlikely to be bestowed upon him again any time in the near future following his nomination last year.For those of you not in the know, Donald Trump tried to claim on Friday that he turned down the chance to be selected as Time s  Person of the Year,  as he would be required to give an interview and do a photo shoot. Time Magazine called to say that I was PROBABLY going to be named  Man (Person) of the Year,  like last year, but I would have to agree to an interview and a major photo shoot. I said probably is no good and took a pass. Thanks anyway!  Trump tweeted.Time Magazine called to say that I was PROBABLY going to be named  Man (Person) of the Year,  like last year, but I would have to agree to an interview and a major photo shoot. I said probably is no good and took a pass. Thanks anyway!  Donald J. Trump (@realDonaldTrump) November 24, 2017The only flaw with the President s claim was that not a single word of it was remotely true and he was called on it too, first by Time magazine, who were quick to point out that that s not how the selection or announcement process even works, something Trump should already be aware of, and then by Time s chief content officer, Alan Murray, who tweeted that none of what the President had tweeted was at all factual.The President is incorrect about how we choose Person of the Year. TIME does not comment on our choice until publication, which is December 6.  TIME (@TIME) November 25, 2017Amazing. Not a speck of truth here Trump tweets he 'took a pass' at being named TIME's person of the year https://t.co/D6SJgyTpcY  Alan Murray (@alansmurray) November 25, 2017Total BS https://t.co/jrUPRbLCGQ  Alan Murray (@alansmurray) November 25, 2017However, it didn t end there for Trump. Peter Souza, Barack Obama s former official White House photographer and an ardent Trump troll, took to Instagram to taunt President Trump. Souza shared a compilation of images consisting of 15 Time covers featuring the Obamas, originally posted by an account by the name of @michelleandbarack. To rub a little more salt into Trump s open and possibly septic wound, Souza also added the caption Someone has a lot of catching up to do  to his post, as well as hashtags such as #TwoTerms, #ThankYouObama, #ComeBackBarack, and #MyPresidentWasBlack. Someone has a lot of catching up to do. #Repost @michelleandbarack   #MichelleAndBarack #Forever44 #BarackObama #MichelleObama #MaliaObama #SashaObama #Bo #Sunny #POTUS #FLOTUS #WhiteHouse #ObamaFoundation #ThankYouObama #TwoTerms #Hope #ComeBackBarack #MyPresidentWasBlack #NeverForget #Hawaii #Chicago #WashingtonDC #MakeAmericaGreatAgainA post shared by Pete Souza (@petesouza) on Nov 25, 2017 at 12:51pm PSTSouza often trolls the President by using contrasting photos he took in the past that show Obama s time in office in a far more positive light. When someone as thin-skinned as Donald Trump has such a dislike for his predecessor, that s going to sting a little.Featured image via Chris Hondros/Getty Images",News,"November 27, 2017"
" Just Back From A Golfing Vacay, Trump Says He’s Done More Than Any President Ever","Donald Trump just got back from binge-golfing over a span of five days and he s on track to triple the time former President Barack Obama spent on the golf course in his first year in office even though he repeatedly disparaged his predecessor for golfing. There are at least 27 tweets which Trump unleashed about Obama golfing, and on the campaign trail, he continued that.  If I were in the White House   I don t think I d ever see any of the places that I [own],  Trump said during the campaign just last year, citing one of his golf courses in Florida.  I just want to stay in the White House and work my ass off, make great deals. Right? Who s going to leave? Who s going to leave? Mark Knoller of CBS News keeps detailed statistics of presidencies.By my count, Pres Trump has spent all or part of 87 days at one of his golf clubs   plus one in Japan. More often than not, WH won't say when he plays golf. Compares at same point in presidencies:Obama   24 rounds of golfGeorge W Bush   7 rounds.  Mark Knoller (@markknoller) November 26, 2017Trump golfed for 5 days straight.Last day of his Florida holiday, Pres Trump back at one of his eponymous golf clubs. 5th day in a row. No photo op for the press pool, dropped off across-the-street at public library.  Mark Knoller (@markknoller) November 26, 2017Sunday night, the Vacationer-in-Chief expressed his concern over the Russia scandal being brought up by   wait for it   bringing it up, then went on to tell how much he s done in 10 months, more than any president ever. Since the first day I took office, all you hear is the phony Democrat excuse for losing the election, Russia, Russia, Russia,  he tweeted.  Despite this I have the economy booming and have possibly done more than any 10 month President. MAKE AMERICA GREAT AGAIN! Since the first day I took office, all you hear is the phony Democrat excuse for losing the election, Russia, Russia,Russia. Despite this I have the economy booming and have possibly done more than any 10 month President. MAKE AMERICA GREAT AGAIN!  Donald J. Trump (@realDonaldTrump) November 26, 2017To be clear, Trump is saying that he s accomplished more than George Washington and Franklin D. Roosevelt even though he s the least popular president in the history of polling and has not passed any major legislation. You know who isn t taking vacations right now? Robert Mueller, that s who.Photo by Ian MacNicol/Getty Images.",News,"November 26, 2017"
" Two Weeks Before Election, Trump Still Defends Accused Child Molester Because TAXES, Y’all","Sunday morning, after what must have seemed like another interminable weekend of scrutiny, terror, and being made to look like a fool, Donald Trump returned to doing what he does best: Being an absolute garbage person. He was still recovering from the humiliation of his hilariously bad attempt at pretending TIME Magazine  offered  him their Person of the Year honorific, followed by the embarrassment of trying to troll CNN, only to see their response tweet get twice the likes and retweets of his original.So Trump had to up his game. And how could he possibly piss off more people than by pivoting back to Roy Moore, the accused pedophile running for the US Senate in Alabama?Even some of Trump s most ardent supporters have begged the Doddering Dotard to back off his support for the toxic candidate. It s hard, as you might imagine, to truly get behind a guy who s accused of molesting young girls, especially with so much evidence against him. But Trump tried nonetheless:The last thing we need in Alabama and the U.S. Senate is a Schumer/Pelosi puppet who is WEAK on Crime, WEAK on the Border, Bad for our Military and our great Vets, Bad for our 2nd Amendment, AND WANTS TO RAISES TAXES TO THE SKY. Jones would be a disaster!  Donald J. Trump (@realDonaldTrump) November 26, 2017I endorsed Luther Strange in the Alabama Primary. He shot way up in the polls but it wasn t enough. Can t let Schumer/Pelosi win this race. Liberal Jones would be BAD!  Donald J. Trump (@realDonaldTrump) November 26, 2017It s an interesting tack to take   just talking about how terrible Doug Jones is, rather than addressing the fact that Roy Moore is accused of touching children inappropriately. What s more interesting is how wrong he is on every count. Weak on crime? Jones successfully prosecuted the KKK members who blew up a Birmingham church, killing four young black girls in 1963. The Second Amendment? The most Jones supports as far as gun control is expanded background checks. Bad for the military? Jones supports increased military spending, a position that puts him at odds with the two lawmakers that Trump tries to  tie  Jones to in his tweets. Jones is largely considered a moderate among Democrats.The bottom line is, Trump is terrified of losing a crucial vote on his signature tax cuts for the wealthy. He is so calculating that if he didn t have something so important pending, he would throw Roy Moore under the bus in a heartbeat   despite the similarities between accusations against Moore and accusations against himself.This is the worst of politics, people. And when the Republican Party is bloodied on the floor of America, they can thank their garbage president who refused to back away from a child molester just because he wants to  accomplish  something before he s booted out of office.Featured image via Chip Somodevilla/Getty Images",News,"November 26, 2017"
 Principles Over Power: Why Republicans Need To Do What’s Right To Remain Relevant,"Over the last few weeks, I ve watched as the last shreds of the Republican Party s  family values  rotted away.As Alabama voters prepare to go to the polls in December they have two choices before them.They can vote for the Democrat and prove that they refuse to tolerate an accused child molester and sexual predator being in their party and in the Senate, or they can put political power over the morality they have long preached about.In other words, they can either put power over principles or put principles over power.They can t do both.And while they are damned if they do and damned if they don t, choosing the latter of those two options would be a far better and more honorable choice.Some things go above politics, and sexual assault is, and rightfully should, be one of them.Voting for Moore for the sake of political power throws every sexual assault victim under the bus. It will especially be a slap in the face of women across the country, a major voting block that has already been overwhelmingly voting Democrat for many years.If Republicans want to have any chance of surviving as a legitimate political party for many more decades to come, it is critical that they start by drawing a line in the sand when it comes to Moore and the people who defend him such as Donald Trump.This starting point alone can restore a little of the respect the GOP has lost. Perhaps then, they ll even be courageous enough to rejects the racists and the sexists and the Nazis, which will do more to grow the ranks of the party than the Southern Strategy ever did.And then the Republican Party can get past being a haven for extremists and anti-government zealots and get on the road to becoming a sane party with real ideas instead of simply opposing and obstructing at every turn, which has not been good for the country at all.America has lost its respect of the international community and our reputation has been seriously sullied. Letting Moore step inside the Senate would send a message to the world that America supports child molestation and the sexual assault and harassment of women.Such a message from the Republican Party smacks of hypocrisy. After all, we are talking about the same party that constantly bring up the sexual assault allegations against Bill Clinton.But just like how they constantly bring up Abraham Lincoln in an attempt to claim that the Republican Party must still be great, their rhetoric about Bill Clinton is old and tired and not really that relevant today. The GOP is far removed from the days of Lincoln. And Bill Clinton was president two decades ago and if he were running today he would not win. The sexual assault allegations alone would prevent him from even getting on the ballot.However, by supporting Donald Trump, who was accused by a dozen women of sexual assault during the 2016 campaign, Republicans committed a serious hypocrisy that undermines their Bill Clinton talking point.If Moore wins next month, Republicans will only be doubling down on that hypocrisy and they ll be past the point of no return. And the consequences will be severe.America is more diverse than ever before. Women have emerged as a force to be reckoned with after decades of old white guys running the show. Minorities are also set to become the majority of the population, and once that scale tips, the GOP will no longer be able to be the party of white people. It just won t work.It s just a matter of time, and time is running out for the Republican Party.And that s why they must rise above politics and stand for something bigger than themselves.Sexual assault and child molestation should not be rewarded with power and prestige. And that should go beyond the political arena as well, whether the behavior is coming from a corporate CEO or the part-owner of a website or a church leader or any other position of power.Republicans need to start practicing the  morality  they preach and they can do that by putting politics aside and do the right thing.That s what Republicans did in 1860 when they voted for a dark horse candidate as their flagbearer. Lincoln then put politics aside to assemble one of the greatest Cabinets in our history, bringing together liberal and conservative Republicans and even a Democrat or two.And even though Lincoln remained neutral at first and the politics of day made it really difficult, he made the decision to put politics aside and pushed for the passage of the 13th Amendment. Such a move at the time could have cost Lincoln a second term, but he did it anyway.Lincoln put principle over power in the face of an even more contentious and hateful political environment than we are experiencing today. It s time for Republicans to do the same now.Seven years ago, my first article for this site explained how Republicans have put power over principles for decades to the detriment of our progress towards a better future for everyone.Today, I want inform my loyal readers that this will be my final article for Addicting Info.It has been an honor and a privilege to write here for so many years. I must first thank my readers for making this job possible. Knowing that I was informing so many people across the country and around the world motivated me to make writing about politics my career. And now it is time to move on in order to further pursue that goal.It is hard to leave the best job one has ever had. Through the years, I have made friends and lost friends. I have been here through the struggles and the triumphs. And I have done that while drastically improving as a writer and a person along the way.With that being said, it is especially hard to leave the people I work with, and there are many, both past and present, who deserve a shout-out. I would like to personally thank Wendy Gittleson, Sarah Wood, Eve-Angeline MItchell, John Prager, Justin Acuff, Elisabeth Parker, Shannon Barber, Andrew Simpson, Conover Kennard, Jameson Parker, Ryan Denson, Patricia Colli, Randa Morris, Joe Fletcher, Dylan Hock, April Louise Childers, Justin Rosario, Shannon Argueta, Allison McHam Vincent, Christopher Blair, Oliver Willis, Kerry-anne Mendoza, Nathaniel Downes, Nurmi Husa, and David E. Phillips for enriching my life and helping me develop into the writer and person I am today. You have all been amazing friends and colleagues and I would not be where I am without you.Last, but not least, I want to thank Matthew Desmond for believing in me enough to give me my start and keep me around all these years. You have been the best boss I could ever have hoped for and your friendship and support has been invaluable to me. You ve been an inspiration and I will always be grateful and fiercely loyal to you. You changed my life in ways you may never know.This is not goodbye forever. Perhaps one day, I ll return as long as the door remains open for me to do so. But for now, this is Stephen D. Foster Jr. signing off.Featured Image: Mark Wilson/Getty Images",News,"November 25, 2017"
 Trump: Everything You Heard Me Say On The Access Hollywood Tape Never Happened,"Former reality show star Donald Trump has repeatedly refused to be held responsible for the words that come out of his own mouth, even when it s on tape. For example, the infamous Access Hollywood tape in which he suggests that because he s powerful, he can just grab women by their p-ssies. Trump defended sexual harasser and Fox News host (yeah, I know that s redundant) Bill O Reilly in the recent past and even more recently, he has defended alleged pedophile and Alabama Senate candidate Roy Moore. So, defending perverts is just another day for Donald Trump.Here s a quick reminder of what Trump said on the p*ssy grabbing tape: You know I m automatically attracted to beautiful [women]   I just start kissing them. It s like a magnet. Just kiss. I don t even wait. And when you re a star, they let you do it. You can do anything. Grab them by the pussy. You can do anything. The New York Times reports that even after Trump made an almost-apology after the tape was revealed, he still told a Senator and an adviser that the Access Hollywood tape may not be authentic.But something deeper has been consuming Mr. Trump. He sees the calls for Mr. Moore to step aside as a version of the response to the now-famous  Access Hollywood  tape, in which he boasted about grabbing women s genitalia, and the flood of groping accusations against him that followed soon after. He suggested to a senator earlier this year that it was not authentic, and repeated that claim to an adviser more recently.So, to reiterate, Trump told an adviser recently that the video and tape of him talking about perving on women is fake news. And he also told that to a Senator after it was released.We see a pattern here. Maybe Trump s cult-like following will believe this crap but the rest of us remember that tape all too well. That tape was an indicating factor that Donald J. Trump is unfit for office, morally and intellectually.Photo by Chip Somodevilla/Getty Images",News,"November 25, 2017"
 CNN BLISTERS Trump After He Attacks Them For Bad Representation: ‘That’s Your Job’ (TWEETS),"One of Donald Trump s favorite punching bags is CNN. He even once tweeted a GIF image of himself punching a person with a CNN logo superimposed over the head   indicating that he d like to enact violence against CNN s reporters. Then there was the time he tweeted the  Trump Train  roaring over  CNN.  Now, he s back at it   this time suggesting that  fake  CNN should be the ones representing America to the world, and that they are doing a bad job. Here is that tweet:.@FoxNews is MUCH more important in the United States than CNN, but outside of the U.S., CNN International is still a major source of (Fake) news, and they represent our Nation to the WORLD very poorly. The outside world does not see the truth from them!  Donald J. Trump (@realDonaldTrump) November 25, 2017Of course, it is beneath the dignity of most people to respond to a moronic buffoon like Trump under normal circumstances. However, he is currently squatting in the White House, and has his tiny orange hands on the levers of power   not to mention the nuclear codes   so they have to stoop to a Trumpian level when personally attacked. However, being, well, you know, FIT to be doing the job they are doing, the good folks at CNN Communications fired back at Trump, and their response is nothing short of perfect:It's not CNN's job to represent the U.S to the world. That's yours. Our job is to report the news. #FactsFirst   CNN Communications (@CNNPR) November 25, 2017BOOM! Couldn t have asked for a sicker burn than this. And they are right of course   especially the part about #FactsFirst. Trump has a problem with the truth, as we all well know. That s what makes what the CNN Communications people replied so fabulous. It is the ultimate truth   something the likes of the pathological orange liar that is Donald Trump knows nothing about.Featured image via  Andrew Burton/Getty Images",News,"November 25, 2017"
